,date,logging_info,status
0,22-11-21 09:18:27,"Email: moizbroadthinker543@gmail.com validation flag, email_validation_flag: True,password_validation_flag: True",INFO
1,12-12-21 13:50:36,Sucessfully connected to the mongodb database,INFO
2,27-11-21 23:36:57,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: True",INFO
3,11-12-21 16:10:20,Sucessfully connected to the mongodb database,INFO
4,11-12-21 16:22:28,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
5,12-12-21 00:32:05,Sucessfully connected to the mongodb database,INFO
6,22-11-21 15:28:46,Sucessfully connected to the mongodb database,INFO
7,11-12-21 17:50:25,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
8,27-11-21 23:36:54,Sucessfully connected to the mongodb database,INFO
9,11-12-21 16:40:27,Sucessfully connected to the mongodb database,INFO
10,22-11-21 15:28:54,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
11,11-12-21 17:56:07,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
12,12-12-21 02:48:10,Sucessfully connected to the mongodb database,INFO
13,22-11-21 15:28:15,Sucessfully connected to the mongodb database,INFO
14,11-12-21 17:36:50,Sucessfully connected to the mongodb database,INFO
15,27-11-21 23:32:29,Sucessfully connected to the mongodb database,INFO
16,22-11-21 15:29:25,password for email: waqasbilal02@gmail.com sucessfully updated in the database,INFO
17,29-11-21 04:51:51,password for email: ranamoazzam.iqbal11168@gmail.com sucessfully updated in the database,INFO
18,11-12-21 15:55:03,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: False,password_validation_flag: False; error: ""Cursor"" object has no attribute ""count""",ERROR
19,12-12-21 02:41:11,Sucessfully connected to the mongodb database,INFO
20,22-11-21 15:22:10,Sucessfully connected to the mongodb database,INFO
21,22-11-21 15:27:19,Sucessfully connected to the mongodb database,INFO
22,12-12-21 00:08:53,Sucessfully connected to the mongodb database,INFO
23,12-12-21 00:31:07,"Email: waqasbilal0002@gmail.com validation flag, email_validation_flag: False,password_validation_flag: False",INFO
24,22-11-21 09:01:28,"Email: moizbroadthinker543@gmail.com validation flag, email_validation_flag: True,password_validation_flag: True",INFO
25,22-11-21 00:14:26,sign_up credentials for email: thinkervicky@gmail.com sucessfully inserted into database,INFO
26,29-11-21 04:50:11,"Email: ranamoazzam.iqbal11168@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
27,22-11-21 08:55:31,Sucessfully connected to the mongodb database,INFO
28,12-12-21 00:24:02,Sucessfully connected to the mongodb database,INFO
29,11-12-21 16:17:14,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
30,12-12-21 00:16:27,Sucessfully connected to the mongodb database,INFO
31,22-11-21 00:04:34,Sucessfully connected to the mongodb database,INFO
32,28-11-21 14:04:47,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: True",INFO
33,22-11-21 00:14:20,Sucessfully connected to the mongodb database,INFO
34,12-12-21 00:30:47,Sucessfully connected to the mongodb database,INFO
35,28-11-21 10:22:03,password for email: waqasbilal02@gmail.com sucessfully updated in the database,INFO
36,28-11-21 10:21:01,"Email: waqasbilal02@gmail.com validation flag, email_validation_flag: True,password_validation_flag: False",INFO
